company,title,location,javascript,html,css,python,sql,java,c#,bash,c++,php,kotlin,rust,ruby,dart,swift,golang
Genesis10,Entry Level Software Developer *No Experience Required* - Dev10 - NY,NY,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
TriSearch,Java Software Engineer (REMOTE),Remote,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
EBSCO Information Services,SOFTWARE ENGINEER I- JAVA (remote),,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tegrit,Software Developer (Remote Available),Remote,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote Eligible)",NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Back End, Cloud Productivity (Remote-Eligible)",NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Manager, Software Engineer, Back End (Remote Eligible)",NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Senior Software Engineer, Back End (Remote Eligible)",DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,"Software Engineer 1 (Full Stack) - Product Technology - Remote, Seattle, SF or Austin",WA,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Indeed,Software Engineer I - Marketplace - Enterprise Team,NY,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Capital One,Lead Back End Software Engineer (Remote-Eligible),NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Sr. Cloud Software Engineer (Remote-Eligible),NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Principal Software Engineer-Remote Eligible,NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,Backend Software Engineer - Resume Search - Enterprise Team,WA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Underdog.io,Backend Engineer,Remote,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Indeed,Software Engineer II,NY,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Liberty Mutual Insurance,Software Engineer - Remote,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venturi Group,Lead Back-End Engineer,Remote,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Savvy,Software Engineer,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eBay Inc.,"Software Engineer, Backend (MTS 2)",GA,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Disney Media & Entertainment Distribution,Lead Software Engineer,CA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
eBay Inc.,Senior Java Backend Software Engineer,CA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
USEngineering Solutions Corp.,Java Developer,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H&R Block,Assoc Software Engineer-S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engtal,Senior Software Engineer - cloud,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mutual of Omaha,Backend Engineer (AWS / TypeScript / Node)-Remote,Remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Engtal,Software Engineer � Backend,Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Uber,Backend Software Engineer - Marketplace Pricing & Incentives,CA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
The Pok�mon Company International,"Software Development Engineer in Test (SDET) [Multiple Openings: Level 2, 3 & Senior] (Hybrid)",WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosairus LLC,Software Development QA Tester,GA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Meta,Android Software Engineer,Remote,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Cook Systems,Software Development Engineer (100% remote),Remote,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Oculus,RL Research Software Engineer - Full Stack,WA,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Meta,"Software Engineer, Language",NY,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote Eligible)",VA,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,"Software Engineer 1 (Full Stack) - Product Technology - Remote, Seattle, SF or Austin",NY,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Capital One,"Software Engineer, Back End (Remote Eligible)",NY,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Capital One,Software Engineer-Manager (Remote Eligible),DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital One,"Manager, Software Engineer, Back End (Remote Eligible)",DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,,DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Platform Engineer (Remote - Eligible),VA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Indeed,Software Engineer II - Job Seeker,CA,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Indeed,Software Engineer I - Marketplace - Enterprise Team,NY,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Indeed,Backend Software Engineer - Resume Search - Enterprise Team,WA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Capital One,Sr. Cloud Software Engineer (Remote-Eligible),NY,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Principal Software Engineer-Remote Eligible,NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Lead Back End Software Engineer (Remote-Eligible),DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Underdog.io,Backend Engineer,Remote,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Indeed,Quality Assurance Automation Engineer,WA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Venturi Group,Lead Back-End Engineer,Remote,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
eBay Inc.,"Software Engineer, Backend (MTS 2)",GA,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Validity,Full Stack Software Engineer,Remote,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Savvy,Software Engineer,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eBay Inc.,Senior Java Backend Software Engineer,CA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Reaktor,Remote Senior Full Stack Software Engineer,NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H&R Block,Assoc Software Engineer-S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USEngineering Solutions Corp.,Java Developer,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mutual of Omaha,Backend Engineer (AWS / TypeScript / Node)-Remote,Remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Engtal,Software Engineer � Backend,Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Engtal,Senior Software Engineer - cloud,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uber,Backend Software Engineer - Marketplace Pricing & Incentives,CA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
The Pok�mon Company International,"Software Development Engineer in Test (SDET) [Multiple Openings: Level 2, 3 & Senior] (Hybrid)",WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosairus LLC,Software Development QA Tester,GA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BNL Consulting,"Sr. Angular Developer (Remote, 3-month Contract)",Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote Eligible)",DE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Cambium Learning Group,Software Engineer,Remote,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Capital One,"Senior Software Engineer, Back End (Remote-Eligible)",DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,Platform Engineer (Remote-Eligible),VA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
